29,2023-04-15 10:36:39.642470,PING 150
53,2023-04-15 10:37:39.726212,PING 151
99,2023-04-15 10:45:40.374466,PING 159
126,2023-04-15 10:46:40.497713,PING 160
158,2023-04-15 10:47:40.536596,PING 161
189,2023-04-15 10:48:40.602810,PING 162
223,2023-04-15 10:49:40.677697,PING 163
249,2023-04-15 10:50:40.762315,PING 164
312,2023-04-15 10:52:40.923385,PING 166
346,2023-04-15 10:53:41.008078,PING 167
379,2023-04-15 10:54:41.101670,PING 168
411,2023-04-15 10:55:41.201047,PING 169
446,2023-04-15 10:59:41.520711,PING 173
475,2023-04-15 11:00:41.608013,PING 174
502,2023-04-15 11:01:41.695677,PING 175
531,2023-04-15 11:02:41.763349,PING 176
560,2023-04-15 11:03:41.844768,PING 177
589,2023-04-15 11:04:41.934422,PING 178
619,2023-04-15 11:05:42.015264,PING 179
638,2023-04-15 11:07:42.197625,PING 181
666,2023-04-15 11:08:42.279203,PING 182
695,2023-04-15 11:09:42.357414,PING 183
723,2023-04-15 11:10:42.436922,PING 184
750,2023-04-15 11:11:42.516953,PING 185
780,2023-04-15 11:12:42.595240,PING 186
810,2023-04-15 11:13:42.677699,PING 187
841,2023-04-15 11:14:42.809118,PING 188
871,2023-04-15 11:15:42.868096,PING 189
898,2023-04-15 11:16:42.933283,PING 190
925,2023-04-15 11:17:43.011273,PING 191
952,2023-04-15 11:18:43.091576,PING 192
981,2023-04-15 11:19:43.174960,PING 193
1011,2023-04-15 11:20:43.260192,PING 194
1038,2023-04-15 11:21:43.385543,PING 195
1065,2023-04-15 11:22:43.431189,PING 196
1093,2023-04-15 11:23:43.513161,PING 197
1118,2023-04-15 11:24:43.591163,PING 198
1145,2023-04-15 11:25:43.693385,PING 199
1171,2023-04-15 11:26:43.775952,PING 200
1195,2023-04-15 11:27:43.875691,PING 201
1224,2023-04-15 11:28:43.967581,PING 202
1251,2023-04-15 11:29:44.039725,PING 203
1282,2023-04-15 11:30:44.122841,PING 204
1300,2023-04-15 11:44:45.248677,PING 218
1329,2023-04-15 11:45:45.325180,PING 219
1362,2023-04-15 11:46:45.404771,PING 220
1395,2023-04-15 11:47:45.489711,PING 221
1422,2023-04-15 11:48:45.573754,PING 222
